booking_number,price_owner_scv_code,shipper_scv_code,shipper_name,origin_location_name,destination_location_name,booked_ffes,vp_lead_probability,vp_lead_contributor0,vp_lead_contributor1,vp_lead_contributor2,vp_lead_contributor3,vp_lead_contributor4,parent_commodity_name,container_type_rkem
225767501,12300079584,12300245494,FAMED ZYWIEC SP Z O O,Zywiec,Ashdod Terminal,1,,,,,,,Miscellaneous manufactured materials,20DRY
227250969,40605165164,12350013149,AEKLA HUTCHINSON POLAND SP Z O O,Zywiec,YANGSHAN SGH GUANDONG TERMINAL,2,2.318,destination_country_CN,Client_type_Unknown,intermodal_export_leads,contractual_customer_days_since_last_service_call_0_30,Nan values,Vehicles,20DRY
227250969,40605165164,12350013149,AEKLA HUTCHINSON POLAND SP Z O O,Zywiec,YANGSHAN SGH GUANDONG TERMINAL,2,0.606,destination_country_CN,Client_type_Unknown,intermodal_export_leads,contractual_customer_days_since_last_service_call_0_30,Nan values,Vehicles,40DRY
227544856,12300068974,12300085820,ALPLA OPAKOWANIA Z TWORZYW,Zywiec,"Santos, Santos Brasil Terminal",1,0.606,destination_country_BR,Inland_Rate_Exist,Client_type_Unknown,intermodal_export_leads,Nan values,Plastic and rubber,40DRY
227893438,40605165164,,,Zywiec,YANGSHAN SGH GUANDONG TERMINAL,1,1.062,destination_country_CN,Client_type_Unknown,intermodal_export_leads,contractual_customer_days_since_last_service_call_0_30,Nan values,Vehicles,40DRY
226325198,115001635,115001635,CARGO BOOK SHIPPING & TRANSPORT SA,Zwolle,Piraeus Terminal,1,1.738,chb_export_leads,contractual_customer_days_since_last_service_call_invalid,contractual_customer_vertical_Transport Freight & Storage,destination_country_GR,commodity_Foodstuff,Foodstuff,40DRY
226246028,13000415517,13000415517,NEOWORLD LTD,Zwierzyniec,Gateway Terminals India APMT,1,0.606,commodity_Wood,contractual_customer_vertical_Transport Freight & Storage,Inland_Rate_Exist,destination_country_IN,intermodal_export_leads,Wood,20DRY
227265215,11301050912,42200960405,BORRI ASIA PACIFIC ENGINEERING SDN,Zwickau,Mombasa Terminal,1,12.064,is_hazardous,commodity_Miscellaneous manufactured materials,Client_type_Unknown,intermodal_export_leads,Nan values,Miscellaneous manufactured materials,40DRY
227506006,12200380837,12200380837,YOURCENTRAL LOGISTICS BV,Zwevezele,Valparaiso Terminal,1,0.133,Client_type_Unknown,commodity_Appliances and kitchenware,intermodal_export_leads,Nan values,Nan values,Appliances and kitchenware,40DRY
227766636,11301210935,11301210935,GERMANETTI DEUTSCHLAND GMBH,Zwaag,MARSA MAROC Terminal,1,2.973,Inland_Rate_Exist,Client_type_Unknown,intermodal_export_leads,contractual_customer_days_since_last_service_call_0_30,Nan values,Furniture,40DRY
227147781,12700163139,127BCN02724,"CORSIVIA, SA",Zuera,Adani Hazira Port Pvt. Ltd,1,0.606,contractual_customer_days_since_last_service_call_invalid,contractual_customer_vertical_Cluster,Inland_Rate_Exist,destination_country_IN,intermodal_export_leads,Sports goods,40DRY
227259893,12700163139,127BCN02724,"CORSIVIA, SA",Zuera,PSA Singapore Terminal,1,1.062,destination_country_SG,contractual_customer_days_since_last_service_call_invalid,contractual_customer_vertical_Cluster,Inland_Rate_Exist,intermodal_export_leads,Sports goods,20DRY
227338934,127VCI02009,127VCI02009,"JCV INTERCONTAINER, SL",Zuera,Manzanillo Terminal,1,0.133,contractual_customer_days_since_last_service_call_invalid,contractual_customer_vertical_Transport Freight & Storage,commodity_Appliances and kitchenware,Inland_Rate_Exist,Client_type_Unknown,Appliances and kitchenware,40DRY
227459815,12700163139,12700163139,"TRANS RAFERA, SL",Zuera,Melbourne Patrick Terminal,1,0.133,contractual_customer_days_since_last_service_call_invalid,contractual_customer_vertical_Cluster,Inland_Rate_Exist,intermodal_export_leads,Nan values,Sports goods,20DRY
227460553,12700163139,127BCN02724,"CORSIVIA, SA",Zuera,DP World Brisbane,1,0.133,contractual_customer_days_since_last_service_call_invalid,contractual_customer_vertical_Cluster,Inland_Rate_Exist,intermodal_export_leads,Nan values,Sports goods,40DRY
